[IPTV],#genre#
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227508/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225574/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227436/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227652/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227694/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227246/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227390/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227488/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227407/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227741/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227212/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227633/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227558/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227643/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227498/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227653/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227759/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227476/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227445/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227673/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227691/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227591/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227249/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227399/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227552/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227185/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227439/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227668/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227689/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227402/index.m3u8
江西卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227738/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227491/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227483/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227744/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227692/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227215/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227555/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227442/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227217/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227677/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227695/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227624/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227307/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227479/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227495/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227665/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227703/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227211/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227565/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227377/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227482/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227191/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227404/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227735/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227220/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227320/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227485/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227676/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227380/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227729/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227632/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227550/index.m3u8
